geonameid;name;asciiname;latitude;longitude;feature code
3052047;Gyömöre-Tét Vasúti Megállóhely;Gyomore-Tet Vasuti Megallohely;47,4833;17,5667;RSTP
3052068;Gyenesdiás Vasúti Megállóhely;Gyenesdias Vasuti Megallohely;46,7667;17,2833;RSTP
3052100;Gyál Felső Vasúti Megállóhely;Gyal Felso Vasuti Megallohely;47,3898;19,2059;RSTP
3052235;Gödöllő-Állami Telepek Vasúti Megállóhely;Godollo-Allami Telepek Vasuti Megallohely;47,5667;19,3833;RSTP
3052238;Göd Felső Vasúti Megállóhely;God Felso Vasuti Megallohely;47,7167;19,1500;RSTP
3052240;Göd Alsó Vasúti Megállóhely;God Also Vasuti Megallohely;47,6833;19,1500;RSTP
3052328;Gencsapáti Felső Vasúti Megállóhely;Gencsapati Felso Vasuti Megallohely;47,3033;16,5927;RSTP
3052329;Gencsapáti Alsó Vasúti Megállóhely;Gencsapati Also Vasuti Megallohely;47,2858;16,6002;RSTP
3052400;Gamásza Vasúti Megállóhely;Gamasza Vasuti Megallohely;46,9333;18,1333;RSTP
3052418;Galgahévíz Vasúti Megállóhely;Galgaheviz Vasuti Megallohely;47,6313;19,5623;RSTP
3052438;Galambház Vasúti Megállóhely;Galambhaz Vasuti Megallohely;46,8500;19,5000;RSTP
3052540;Fótújfalu Vasúti Megállóhely;Fotujfalu Vasuti Megallohely;47,6167;19,2000;RSTP
3052572;Fonyódliget Vasúti Megállóhely;Fonyodliget Vasuti Megallohely;46,7590;17,5914;RSTP
3052618;Fityeház Vasúti Megállóhely;Fityehaz Vasuti Megallohely;46,3667;16,9167;RSTP
3052636;Fertőszéplak-Fertőd Vasúti Megállóhely;Fertoszeplak-Fertod Vasuti Megallohely;47,6180;16,8507;RSTP
3052656;Ferenctelep Vasúti Megállóhely;Ferenctelep Vasuti Megallohely;45,9833;17,3833;RSTP
3052691;Fenékpuszta Vasúti Megállóhely;Fenekpuszta Vasuti Megallohely;46,7167;17,2500;RSTP
3052810;Felsőméntelek Vasúti Megállóhely;Felsomentelek Vasuti Megallohely;46,9862;19,5588;RSTP
3052847;Felsőlajos Vasúti Megállóhely;Felsolajos Vasuti Megallohely;47,0675;19,4993;RSTP
3052851;Felsőkörtvélyes Vasúti Megállóhely;Felsokortvelyes Vasuti Megallohely;46,9333;18,6000;RSTP
3052861;Felsőkapony Vasúti Megállóhely;Felsokapony Vasuti Megallohely;47,3437;19,2318;RSTP
3052947;Felsőbogátpuszta Vasúti Megállóhely;Felsobogatpuszta Vasuti Megallohely;46,3500;17,3833;RSTP
3052982;Fekete Vasúti Megállóhely;Fekete Vasuti Megallohely;46,9833;19,7333;RSTP
3053004;Feketehalom Vasúti Megállóhely;Feketehalom Vasuti Megallohely;46,6000;19,3500;RSTP
3053020;Feketebézseny Vasúti Megállóhely;Feketebezseny Vasuti Megallohely;46,7167;17,5833;RSTP
