geo_id;city;name;latitude;longitude
3054971;Bize;Bize Vasúti Megállóhely;46.5333;17.4333
3047280;Nyergesújfalu;Nyergesújfalu Vasútállomás;47.7667;18.5667
8426437;Emmamajor;Emmamajor Vasúti Megállóhely;47.5417;17.3166
3054843;Boldog;Boldog Vasúti Megállóhely;47.6167;19.7167
722681;Baktalórántháza;Baktalórántháza Vasútállomás;48.0;22.0833
714770;Tiszafüred;Tiszafüred Vasútállomás;47.6333;20.75
3047964;Mohács;Mohács Vasútállomás;46.0;18.6833
716792;Ópályi;Ópályi Vasúti Megállóhely;48.0;22.3167
3045015;Szabadszállás;Szabadszállás Vasútállomás;46.8833;19.2167
3048283;Mátraszőlős-Hasznos;Mátraszőlős-Hasznos Vasúti Megállóhely;47.9393;19.7075
720686;Füzesabony;Füzesabony Vasútállomás;47.75;20.4167
3053830;Dabronc;Dabronc Vasúti Megállóhely;47.0257;17.1672
719259;Kemecse;Kemecse Vasútállomás;48.0667;21.15
3055591;Balatonaliga;Balatonaliga Vasútállomás;46.9833;18.1667
3048175;Ménfőcsanak;Ménfőcsanak Vasútállomás;47.6167;17.6167
3055727;Badacsonytördemic-Szigliget;Badacsonytördemic-Szigliget Vasútállomás;46.8167;17.4833
3056206;Alsógyenes;Alsógyenes Vasúti Megállóhely;46.7667;17.2833
3054090;Csikóstőttős;Csikóstőttős Vasúti Megállóhely;46.3333;18.15
722853;Apafa;Apafa Vasútállomás;47.5833;21.6667
719249;Kende;Kenderes Vasútállomás;47.2667;20.6833
718468;Kótpuszta;Kótpuszta Vasútállomás;46.9667;21.3667
3044797;Szedres;Szedres Vasútállomás;46.4787;18.717
717160;Nagyrét;Nagyrét Vasúti Megállóhely;46.7833;20.7
3042535;Zirc;Zirc Vasútállomás;47.2667;17.9
3046813;Ötvös;Ötvös Vasútállomás;47.0153;17.1359
11205690;Ferihegy;Ferihegy;47.4378;19.224
720367;Gyökérkút;Gyökérkút Vasúti Megállóhely;47.6167;21.0167
717407;Nagycsere;Nagycsere Vasútállomás;47.5167;21.7667
3045329;Siójut;Siójut Vasútállomás;46.8833;18.1333
3051660;Hárshegy;Hárshegy Vasútállomás;47.5356;18.9627
3047224;Nyúl;Nyúl Vasútállomás;47.5833;17.6833
3048827;Lesencetomaj;Lesencetomaj Vasútállomás;46.8755;17.3808
714597;Torna;Tornanádaska Vasútállomás;48.5667;20.8
3055758;Bácsalmás;Bácsalmás Vasútállomás;46.1167;19.35
716299;Püspökladány;Püspökladány Vasútállomás;47.3167;21.1167
720313;Gyüre;Gyüre Vasútállomás;48.1667;22.2833
715940;Sajószöged;Sajószöged Vasúti Megállóhely;47.95;20.9833
3043842;Tolnanémedi;Tolnanémedi Vasútállomás;46.7167;18.4667
3045491;Sárszentmiklós;Sárszentmiklós Vasútállomás;46.85;18.6
721254;Ebes;Ebes Vasútállomás;47.4667;21.5
720271;Hajdúvid;Hajdúvid Vasúti Megállóhely;47.75;21.5167
719998;Hevesvezekény;Hevesvezekény Vasúti Megállóhely;47.5667;20.3667
719094;Kétútköz;Kétútköz Vasúti Megállóhely;47.7;20.5667
715326;Szentkozma;Szentkozma Vasúti Megállóhely;47.2333;21.4667
3055756;Bácsbokod-Bácsborsód;Bácsbokod-Bácsborsód Vasútállomás;46.1167;19.2167
3055534;Balatonszárszó;Balatonszárszó Vasútállomás;46.8333;17.8333
3054661;Budafok;Budafok-Belváros Vasúti Megállóhely;47.4262;19.0412
714819;Tiborszállás;Tiborszállás Vasútállomás;47.8167;22.4167
3047605;Nagyoroszi;Nagyoroszi Vasútállomás;47.9921;19.1024
3056432;Acsa-Erdőkürt;Acsa-Erdőkürt Vasútállomás;47.7983;19.3897
720356;Gyopárosfürdő;Gyopárosfürdő Vasúti Megállóhely;46.5667;20.65
3046206;Porpác;Porpác Vasútállomás;47.2389;16.8328
3045043;Süttő;Süttő Vasútállomás;47.7611;18.4553
714361;Újvár;Újváros Vasúti Megállóhely;46.65;20.5333
3052428;Galambos;Galambos Vasútállomás;46.6333;19.8
3051475;Hévízgyörk;Hévízgyörk Vasúti Megállóhely;47.6333;19.5167
