vonalId;sorszam;geoid
42;6;3043367
42;7;3048106
42;8;3048179
42;9;3053320
42;10;3053487
42;11;3054852
42;12;3053471
42;13;3046767
43;1;3048106
43;2;3047671
43;3;3056329
43;4;3045841
44;1;3046086
44;2;3042543
44;3;3045383
44;4;3045382
44;5;3054788
44;6;3044771
45;1;3044771
45;2;3054788
45;3;3055178
45;4;3054941
45;5;3056446
45;6;3045529
45;7;3045495
45;8;3052851
45;9;3045563
46;1;3045563
46;2;3045491
46;3;3045841
46;4;3054546
46;5;3043230
46;6;3055023
46;7;3047764
46;8;3050777
46;9;3049547
46;10;3043983
46;11;3044797
46;12;3053134
46;13;3043844
46;14;3044756
46;15;3044755
46;16;3047200
46;17;3053767
46;18;3045501
46;19;3055297
47;1;3053588
47;2;3050621
47;3;3043079
47;4;3045478
47;5;3052237
47;6;3054921
47;7;3048601
47;8;3048575
47;9;3048248
47;10;3048251
47;11;3049507
50;1;3053588
50;2;3054090
50;3;3048626
50;4;3044950
50;5;3050566
50;6;3043188
50;7;3047621
50;8;3051471
50;9;3054497
50;10;3047923
50;11;3047924
50;12;3055297
60;1;3047677
60;2;3052618
60;3;3047870
60;4;3055190
60;5;3046865
60;6;3042650
60;7;3052072
60;8;3046484
60;9;3055068
60;10;3045214
60;11;3055201
60;12;3042768
60;13;3051508
60;14;3055775
60;15;3046410
60;16;3052656
60;17;3055366
60;18;3049226
60;19;3053800
60;20;3050042
60;21;3047406
60;22;3047943
60;23;3044468
60;24;3054704
60;25;3047584
60;26;3044688
60;27;3044573
60;28;3055031
60;29;3048255
60;30;3046502
61;1;3044573
61;2;3050151
61;3;3052041
61;4;3045061
61;5;3047177
61;6;3050753
64;1;3046502
64;2;3046518
64;3;3046506
64;4;3046503
64;5;3043071
64;6;3051279
64;7;3053596
64;8;3046504
64;9;3047599
64;10;3053238
64;11;3053024
64;12;3044815
64;13;3042986
64;14;3046714
64;15;3055295
64;16;3055297
65;1;3046502
65;2;3046507
65;3;3044361
65;4;3055813
65;5;3049695
65;6;3042759
65;7;3046735
65;8;3042868
65;9;3042864
65;10;3048354
65;11;3054821
65;12;3047610
65;13;3047964
66;1;3042864
66;2;3048610
70;1;3054634
70;2;3045961
70;3;6691850
70;4;3045963
70;5;3053473
70;6;3053474
70;7;3052225
70;8;3044367
70;9;3043292
70;10;3043277
70;11;3042954
70;12;3047617
70;13;3047618
70;14;3042556
70;15;3044377
71;1;3054634
71;2;3045961
71;3;6691850
71;4;3045963
71;5;3045964
71;6;3052539
71;7;3052540
71;8;3053981
71;9;3042967
71;10;3053252
71;11;3047126
71;12;3045695
71;13;3043287
71;14;3043280
71;15;3053908
71;16;3048385
71;17;3043292
71;18;3043277
75;1;3043277
75;2;3048592
75;3;3048593
75;4;3044350
75;5;3055086
75;6;3047342
75;7;3053681
75;8;3047605
75;9;3053512
75;10;3053511
75;11;3053513
75;12;3051103
75;13;3053762
75;14;3051108
75;15;3055600
77;1;3055822
77;2;3051185
77;3;3052416
77;4;3043283
77;5;3049820
77;6;3043280
78;1;3055822
78;2;3051185
78;3;3052416
78;4;3056432
78;5;3052421
78;6;3047350
78;7;3055250
78;8;3048585
78;9;3047959
78;10;3044256
78;11;3055600
78;12;3046933
78;13;3051239
78;14;3044806
78;15;3048698
78;16;3047343
78;17;3045946
78;18;3048760
78;19;3051106
80;1;3054635
80;2;3045958
80;3;3045967
80;4;3045978
80;5;3045977
80;6;3046530
80;7;3051076
80;8;3052232
80;9;3048429
80;10;3055691
80;11;3055822
80;12;3051475
80;13;3052418
80;14;3043677
80;15;3051617
80;16;3051323
80;17;3043208
80;18;3056422
80;19;719417
80;20;718009
80;21;717067
80;22;719502
80;23;720686
80;24;715271
80;25;717650
80;26;717657
80;27;721644
80;28;721160
80;29;716967
80;30;718752
80;31;717579
80;32;720856
80;33;720025
80;34;714738
80;35;715008
80;36;715004
80;37;715299
80;38;717631
80;39;722189
80;40;715417
80;41;721139
80;42;716827
80;43;722185
80;44;715866
80;45;715838
81;1;3051617
81;2;3048279
81;3;3048724
81;4;3045395
81;5;3055900
81;6;3050871
81;7;3044226
81;8;3046576
81;9;3048283
81;10;3044096
81;11;3048280
81;12;3047799
81;13;3049706
81;14;3049707
81;15;3042773
81;16;3042664
81;17;3045640
81;18;3045200
81;19;720725
82;1;3051617
82;2;3054843
82;3;3050902
82;4;3046090
82;5;3050906
82;6;3048232
82;7;3046198
82;8;719650
82;9;714978
82;10;714420
82;11;713930
82;12;715122
85;1;3043208
85;2;3051833
85;3;3052033
85;4;3049668
85;5;3052020
86;1;3043208
86;2;3050908
86;3;719648
86;4;717332
86;5;719653
86;6;719641
86;7;715370
86;8;716269
86;9;719638
86;10;715456
86;11;714420
86;12;713930
86;13;715122
87a;1;720686
87a;2;717903
87a;3;722871
87a;4;721220
87;1;721220
87;2;721222
87;3;721221
87;4;721229
87;5;722952
87;6;715461
87;7;717525
87;8;722423
87;9;722422
87;10;715216
87;11;715215
87;12;717057
87;13;717030
87;14;721606
87;15;715840
87;16;718923
87;17;719065
87;18;715955
87;19;716246
89;1;714696
89;2;715940
89;3;717411
89;4;720057
89;5;716967
89;6;718752
89;7;717579
90;1;717579
90;2;720856
90;3;716797
90;4;716798
90;5;715257
90;6;715256
90;7;722772
90;8;720225
90;9;721623
90;10;719769
90;11;720744
90;12;717698
90;13;716995
90;14;720019
90;15;720021
90;16;719993
92;1;717579
92;2;717581
92;3;715198
92;4;715959
92;5;715967
92;6;715943
92;7;722332
92;8;719309
92;9;715961
92;10;714309
92;11;721272
92;12;716246
92;13;716365
92;14;722572
92;15;715953
92;16;721932
92;17;716668
94;1;717579
94;2;717581
94;3;715198
94;4;715959
94;5;715967
94;6;722117
94;7;713904
94;8;722054
94;9;721244
94;10;715352
94;11;721998
94;12;715351
94;13;715528
94;14;716454
94;15;719589
94;16;722180
94;17;718631
94;18;714597
94;19;714597
98;1;715299
98;2;717974
98;3;716159
98;4;715000
98;5;720504
98;6;723034
98;7;723038
98;8;722120
98;9;718549
98;10;720760
98;11;720063
98;12;720491
98;13;720490
98;14;713840
98;15;719993
100;1;3054634
100;2;3049643
100;3;3046432
100;4;6691854
100;5;11205690
100;6;3043017
100;7;3043355
100;8;3051303
100;9;3047939
100;10;3046341
100;11;3056324
100;12;3054540
100;13;3054541
100;14;3054535
100;15;3050425
100;16;723027
100;17;715122
100;18;715568
100;19;714580
100;20;722507
100;21;716261
100;22;720990
100;23;714511
100;24;718743
100;25;719397
100;26;722844
100;27;716299
100;28;719266
100;29;719553
100;30;722372
100;31;720275
100;32;721254
100;33;716801
100;34;721463
100;35;721471
100;36;722853
100;37;722221
100;38;714908
100;39;718877
100;40;714462
100;41;721830
100;42;716931
100b;1;716931
100b;2;715674
100b;3;715680
100b;4;719259
100b;5;716942
100b;6;719272
100b;7;721442
100b;8;720572
100b;9;716525
100b;10;722996
100b;11;718737
100b;12;720845
100b;13;718619
100b;14;714489
100b;15;714790
